Model,ROUGE-1,ROUGE-2,ROUGE-L
t5-base,0.21000206309980748,0.03903301397702294,0.15398014016059128
t5-small,0.2344126399915874,0.05945701357466062,0.20289065320644267
sshleifer/distilbart-cnn-12-6,0.2979012788827034,0.07845253920131838,0.21051176274265598
facebook/bart-large-cnn,0.30683536190118355,0.059957693647348806,0.21511579056593583
facebook/bart-large-xsum,0.2824207655090008,0.07658570017090202,0.226134551722787
facebook/bart-large-mnli,0.14800378561988467,0.013406593406593406,0.11733151671232167
