Model,ROUGE-1,ROUGE-2,ROUGE-L,Score,Rank
t5-base,0.2100020630998074,0.0390330139770229,0.1539801401605912,0.3839277395438335,5
t5-small,0.2344126399915874,0.0594570135746606,0.2028906532064426,0.6824382599160876,4
sshleifer/distilbart-cnn-12-6,0.2979012788827034,0.0784525392013183,0.2105117627426559,0.9379740261759963,1
facebook/bart-large-cnn,0.3068353619011835,0.0599576936473488,0.2151157905659358,0.7799815398135856,3
facebook/bart-large-xsum,0.2824207655090008,0.076585700170902,0.226134551722787,0.9287289389050856,2
facebook/bart-large-mnli,0.1480037856198846,0.0134065934065934,0.1173315167123216,0.0,6
